bin start	omega	hist_DD	hist_DR	hist_RR
53.750000	-0.090421	32499674	34357327	33211916
54.000000	-0.094630	32176756	34179350	33054026
54.250000	-0.097798	31823071	33956010	32873930
54.500000	-0.096590	31536820	33688268	32682863
54.750000	-0.103361	30973775	33388271	32448819
55.000000	-0.112729	30362010	33140972	32280932
55.250000	-0.118933	29698922	32821332	32123244
55.500000	-0.125063	29069560	32482040	31904467
55.750000	-0.129490	28576751	32227271	31764603
56.000000	-0.142244	28022764	32032627	31554097
56.250000	-0.153893	27494521	31826107	31335398
56.500000	-0.159374	27015242	31571668	31161720
56.750000	-0.166417	26561100	31351626	30985628
57.000000	-0.171079	26074426	31064955	30788256
57.250000	-0.177445	25589918	30810938	30601812
57.500000	-0.182147	25144893	30527647	30377272
57.750000	-0.182971	24844674	30250806	30141843
58.000000	-0.182654	24489393	29939567	29923990
58.250000	-0.183040	24092675	29610010	29692444
58.500000	-0.176836	23785712	29221056	29448786
58.750000	-0.168275	23483030	28832193	29257970
59.000000	-0.166312	23053828	28467779	29050315
59.250000	-0.161662	22593854	28025463	28801032
59.500000	-0.160825	22243698	27721347	28599474
59.750000	-0.161897	21931476	27457100	28386966
60.000000	-0.163509	21608685	27205858	28193195
60.250000	-0.168458	21136694	26906809	27965853
60.500000	-0.170728	20746929	26619923	27754452
60.750000	-0.164990	20525162	26317443	27562232
61.000000	-0.165140	20362196	26113979	27349301
61.250000	-0.166835	20100779	25884486	27140244
61.500000	-0.168290	19817658	25647938	26943837
61.750000	-0.170522	19575606	25442625	26748453
62.000000	-0.176442	19218017	25205784	26515159
62.250000	-0.179016	18824568	24938968	26338367
62.500000	-0.185322	18411593	24703057	26148609
62.750000	-0.191866	17939083	24418811	25924517
63.000000	-0.191247	17675524	24143987	25697815
63.250000	-0.181695	17525624	23821551	25486667
63.500000	-0.177846	17325442	23556562	25289967
63.750000	-0.174877	17068903	23291145	25120403
64.000000	-0.172557	16860204	23032187	24906393
64.250000	-0.167556	16609294	22728259	24707355
64.500000	-0.162046	16480794	22456046	24466589
64.750000	-0.166314	16226374	22246199	24235344
65.000000	-0.173708	15871748	22024935	24007776
65.250000	-0.175706	15532296	21747374	23783544
65.500000	-0.178324	15250934	21522427	23587676
65.750000	-0.176762	14974386	21234277	23364264
66.000000	-0.175978	14627354	20930256	23157890
66.250000	-0.181141	14333621	20679095	22880057
66.500000	-0.177472	13985318	20331248	22656311
66.750000	-0.166663	13708902	19928202	22412217
67.000000	-0.160151	13422019	19551933	22136638
67.250000	-0.159636	13095263	19224622	21863734
67.500000	-0.158979	12765364	18915723	21627727
67.750000	-0.153736	12542724	18605035	21380401
68.000000	-0.151705	12290353	18339918	21176845
68.250000	-0.150034	12025330	18043638	20922820
68.500000	-0.144314	11764856	17733454	20712897
68.750000	-0.142703	11556378	17466082	20456572
69.000000	-0.135686	11363163	17161706	20217072
69.250000	-0.129592	11051675	16828904	20012661
69.500000	-0.116568	10651609	16369156	19780890
69.750000	-0.102160	10325977	15948997	19572494
70.000000	-0.095704	10044826	15607550	19321170
70.250000	-0.086916	9852310	15294541	19078533
70.500000	-0.078832	9610580	14978598	18859857
70.750000	-0.074743	9329227	14661525	18603359
71.000000	-0.067678	9150651	14389354	18383875
71.250000	-0.062303	8991457	14136520	18150735
71.500000	-0.061459	8827496	13912141	17896866
71.750000	-0.053023	8680408	13645206	17672937
72.000000	-0.048981	8524864	13395525	17413275
